乙酰半胱氨酸注射液|肝衰竭
注射用头孢呋辛钠|中耳炎
注射用头孢呋辛钠|鼻窦炎
注射用头孢呋辛钠|扁桃体炎
注射用头孢呋辛钠|咽炎和急
注射用头孢呋辛钠|慢性支气管炎
注射用头孢呋辛钠|支气管扩张合并感染
注射用头孢呋辛钠|细菌性肺炎
注射用头孢呋辛钠|肺脓肿
注射用头孢呋辛钠|术后肺部感染
注射用头孢呋辛钠|肾盂肾炎
注射用头孢呋辛钠|膀胱炎
注射用头孢呋辛钠|无症状性菌尿症
注射用头孢呋辛钠|蜂窝组织炎
注射用头孢呋辛钠|丹毒
注射用头孢呋辛钠|腹膜炎
注射用头孢呋辛钠|创伤感染
注射用头孢呋辛钠|败血症
注射用头孢呋辛钠|脑膜炎
注射用头孢呋辛钠|淋病
注射用头孢呋辛钠|骨关节感染
青龙蛇药片|蛇咬伤
麝香活血化瘀膏|关节扭伤
麝香活血化瘀膏|软组织挫伤
麝香活血化瘀膏|急性腰扭伤
麝香活血化瘀膏|腰肌劳损
麝香活血化瘀膏|肩周炎
麝香活血化瘀膏|未溃冻疮
麝香活血化瘀膏|结节性红斑
羟乙基淀粉200/0.5氯化钠注射液|失血性休克
羟乙基淀粉200/0.5氯化钠注射液|创伤性休克
羟乙基淀粉200/0.5氯化钠注射液|感染性休克
羟乙基淀粉200/0.5氯化钠注射液|烧伤性休克
静注乙型肝炎人免疫球蛋白|乙型肝炎
盐酸左氧氟沙星氯化钠注射液|呼吸系统感染
盐酸左氧氟沙星氯化钠注射液|泌尿系统感染
盐酸左氧氟沙星氯化钠注射液|生殖系统感染
盐酸左氧氟沙星氯化钠注射液|皮肤软组织感染
盐酸左氧氟沙星氯化钠注射液|肠道感染
盐酸左氧氟沙星氯化钠注射液|急性支气管炎
盐酸左氧氟沙星氯化钠注射液|慢性支气管炎急性发作
盐酸左氧氟沙星氯化钠注射液|弥漫性细支气管炎
盐酸左氧氟沙星氯化钠注射液|支气管扩张合并感染
盐酸左氧氟沙星氯化钠注射液|肺炎
盐酸左氧氟沙星氯化钠注射液|扁桃体炎
盐酸左氧氟沙星氯化钠注射液|扁桃体周围脓肿
盐酸左氧氟沙星氯化钠注射液|肾盂肾炎
盐酸左氧氟沙星氯化钠注射液|复杂性尿路感染
盐酸左氧氟沙星氯化钠注射液|急性前列腺炎
盐酸左氧氟沙星氯化钠注射液|急性副睾炎
盐酸左氧氟沙星氯化钠注射液|宫腔感染
盐酸左氧氟沙星氯化钠注射液|子宫附件炎
盐酸左氧氟沙星氯化钠注射液|盆腔炎
盐酸左氧氟沙星氯化钠注射液|传染性脓疱病
盐酸左氧氟沙星氯化钠注射液|蜂窝组织炎
盐酸左氧氟沙星氯化钠注射液|淋巴管炎
盐酸左氧氟沙星氯化钠注射液|淋巴结炎
盐酸左氧氟沙星氯化钠注射液|皮下脓肿
盐酸左氧氟沙星氯化钠注射液|肛周脓肿
盐酸左氧氟沙星氯化钠注射液|细菌性痢疾
盐酸左氧氟沙星氯化钠注射液|感染性肠炎
盐酸左氧氟沙星氯化钠注射液|沙门菌属肠炎
盐酸左氧氟沙星氯化钠注射液|伤寒
盐酸左氧氟沙星氯化钠注射液|副伤寒
盐酸左氧氟沙星氯化钠注射液|败血症
盐酸左氧氟沙星氯化钠注射液|粒细胞减少
盐酸左氧氟沙星氯化钠注射液|乳腺炎
盐酸左氧氟沙星氯化钠注射液|伤口感染
盐酸左氧氟沙星氯化钠注射液|腹腔感染
盐酸左氧氟沙星氯化钠注射液|胆囊炎
盐酸左氧氟沙星氯化钠注射液|胆管炎
盐酸左氧氟沙星氯化钠注射液|骨与关节感染
盐酸左氧氟沙星氯化钠注射液|五官科感染
盐酸曲马多氯化钠注射液|癌症
盐酸曲马多氯化钠注射液|骨折
氟罗沙星葡萄糖注射液|急性支气管炎
氟罗沙星葡萄糖注射液|慢性支气管炎急性发作
氟罗沙星葡萄糖注射液|肺炎
氟罗沙星葡萄糖注射液|膀胱炎
氟罗沙星葡萄糖注射液|肾盂肾炎
氟罗沙星葡萄糖注射液|前列腺炎
氟罗沙星葡萄糖注射液|附睾炎
